origin,destination,cost
0,1,2
1,2,1
2,3,5
3,4,4
4,5,4
5,6,3
6,7,2
8,9,9
9,10,2
10,11,10
11,12,7
12,13,1
13,14,1
14,15,2
16,17,4
17,18,4
18,19,9
19,20,10
20,21,1
21,22,9
22,23,4
24,25,9
25,26,7
26,27,4
27,28,8
28,29,10
29,30,5
30,31,1
32,33,3
33,34,7
34,35,6
35,36,5
36,37,3
37,38,4
38,39,6
1,0,2
4,3,2
7,6,7
11,10,2
14,13,6
18,17,6
21,20,10
25,24,5
28,27,1
31,30,8
35,34,9
38,37,2
0,8,7
1,9,2
2,10,9
3,11,5
4,12,10
5,13,6
6,14,10
7,15,4
8,16,2
9,17,1
10,18,4
11,19,5
12,20,2
13,21,4
14,22,2
15,23,7
16,24,5
17,25,8
18,26,6
19,27,3
20,28,6
21,29,6
22,30,4
23,31,5
24,32,2
25,33,10
26,34,3
27,35,9
28,36,4
29,37,3
30,38,8
31,39,7
8,0,5
12,4,9
16,8,4
20,12,6
17,9,1
21,13,4
25,17,1
29,21,6
33,25,7
37,29,5

