origen,destino,distancia,tiempo
Puerta_del_Sol,Plaza_Mayor,1.2,2.1
Plaza_Mayor,Puerta_del_Sol,1.2,2.1
Plaza_Mayor,Calle_Mayor,1.8,3.2
Calle_Mayor,Plaza_Mayor,1.8,3.2
Calle_Mayor,Palacio_Real,1.1,2.4
Palacio_Real,Calle_Mayor,1.1,2.4
Palacio_Real,Campo_del_Moro,2.3,4.8
Campo_del_Moro,Rio_Manzanares,3.1,6.5
Rio_Manzanares,Puente_Toledo,2.2,4.7
Puente_Toledo,Parque_Sur,3.4,6.9
Parque_Sur,Ronda_Sur,4.2,8.3
Ronda_Sur,Carretera_Andalucia,5.1,10.2
Carretera_Andalucia,Alcorcon,6.3,12.1
Alcorcon,Mostoles,7.2,14.0
Mostoles,Fuenlabrada,5.4,10.8
Fuenlabrada,Leganes,4.1,8.9
Leganes,Ronda_Sur,5.3,10.7
Ronda_Sur,Getafe,6.2,12.4
Getafe,Ronda_Este,7.8,15.6
Ronda_Este,Torrejon,9.5,19.0
Torrejon,Coslada,6.8,13.6
Coslada,San_Fernando,5.9,11.8
San_Fernando,Ronda_Este,4.7,9.4
Ronda_Este,Avenida_America,3.9,7.8
Avenida_America,Azca,2.8,5.6
Azca,Paseo_Castellana,2.1,4.2
Paseo_Castellana,Bernabeu,3.2,6.4
Bernabeu,Chamartin,2.4,5.0
Chamartin,Avenida_America,4.1,8.2
Chamartin,Fuencarral,5.3,10.6
Fuencarral,Tres_Cantos,7.9,15.8
Tres_Cantos,Colmenar,9.8,19.6
Colmenar,Ronda_Norte,11.2,22.4
Ronda_Norte,Alcala,8.7,17.4
Alcala,Torrejon,6.9,13.8
Puerta_del_Sol,Sol_Metro,0.9,1.8
Sol_Metro,Atocha,2.1,4.2
Atocha,Reina_Sofia,1.3,2.6
Reina_Sofia,Parque_Retiro,2.4,4.8
Parque_Retiro,Paseo_Prado,1.2,2.4
Paseo_Prado,Puerta_del_Sol,2.9,5.8
Puente_Toledo,Carabanchel,4.1,8.3
Carabanchel,Usera,3.8,7.6
Usera,Leganes_Este,5.2,10.4
Leganes_Este,Fuenlabrada_Norte,6.3,12.6
Fuenlabrada_Norte,Mostoles_Oeste,7.1,14.2
Mostoles_Oeste,Alcorcon_Sur,5.9,11.8
Alcorcon_Sur,Boadilla,8.4,16.8
Boadilla,Pozuelo,6.7,13.4
Pozuelo,Aravaca,4.9,9.8
Aravaca,Moncloa,3.8,7.6
Moncloa,Arguelles,1.2,2.4
Arguelles,Plaza_España,1.8,3.6
Plaza_España,Gran_Via,2.1,4.2
Gran_Via,Callao,0.8,1.6
Callao,Puerta_del_Sol,0.9,1.8
Plaza_España,Templo_Debod,1.4,2.8
Templo_Debod,Parque_Oeste,2.3,4.6
Parque_Oeste,Casa_Campo,3.1,6.2
Casa_Campo,Batan,2.8,5.6
Batan,Lago,2.1,4.2
Lago,Puente_Reina,3.4,6.8
Puente_Reina,Puente_Segovia,2.9,5.8
Puente_Segovia,Palacio_Real,1.8,3.6
Plaza_Mayor,Opera,1.1,2.2
Opera,Palacio_Real,1.3,2.6
Opera,Santo_Domingo,0.9,1.8
