origin,destination,cost
0,1,1
1,2,1
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
8,9,1
9,10,1
10,11,1
11,12,1
12,13,1
13,14,1
14,15,1
16,17,1
17,18,1
18,19,1
19,20,1
20,21,1
21,22,1
22,23,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
32,33,1
33,34,1
34,35,1
35,36,1
36,37,1
37,38,1
38,39,1
1,0,1
4,3,1
7,6,1
11,10,1
14,13,1
18,17,1
21,20,1
25,24,1
28,27,1
31,30,1
35,34,1
38,37,1
0,8,1
1,9,1
2,10,1
3,11,1
4,12,1
5,13,1
6,14,1
7,15,1
8,16,1
9,17,1
10,18,1
11,19,1
12,20,1
13,21,1
14,22,1
15,23,1
16,24,1
17,25,1
18,26,1
19,27,1
20,28,1
21,29,1
22,30,1
23,31,1
24,32,1
25,33,1
26,34,1
27,35,1
28,36,1
29,37,1
30,38,1
31,39,1
8,0,1
12,4,1
16,8,1
20,12,1
17,9,1
21,13,1
25,17,1
29,21,1
33,25,1
37,29,1
